Five-Year Ofsted Inspection Data: Non-association independent schools,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Each row in the table shows information about an independent school at a given time. Blank cells indicate that the provider had not been inspected at the time of reporting.,,,,,,,,,,,,,,,,,,,,
URN,Name,Five-Year Ofsted Inspection Data publish date,Publication type,Remit,As at date,Published date,Government office region,Local authority area,Constituency,Postcode,Provider type,Overall effectiveness,Effectiveness of leadership and management,Quality of education,Personal development,Behaviour and attitudes,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Independent school standards met
119849,Crookhey Hall School,03/12/2024,OS,Non-association independent schools,31/08/2024,14/03/2022,North West,Lancashire,Lancaster and Wyre,LA2 0HA,Other Independent Special School,2,2,2,1,2,Yes,,,All standards Met
119853,Waterloo Lodge,03/12/2024,OS,Non-association independent schools,31/08/2024,24/04/2024,North West,Lancashire,Chorley,PR6 7AX,Other Independent Special School,2,2,2,1,1,Yes,,,All standards Met
119856,Al Islah Girls' High School,03/12/2024,OS,Non-association independent schools,31/08/2024,07/12/2021,North West,Blackburn with Darwen,Blackburn,BB1 1TF,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
120330,The Grange Therapeutic School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/03/2024,East Midlands,Leicestershire,Melton and Syston,LE15 8LY,Other Independent Special School,2,2,2,1,2,Yes,,,All standards Met
120331,Twycross House School,03/12/2024,OS,Non-association independent schools,31/08/2024,06/05/2024,East Midlands,Leicestershire,Hinckley and Bosworth,CV9 3PL,Other Independent School,1,1,1,1,1,Yes,,1,All standards Met
120335,Leicester Islamic Academy,03/12/2024,OS,Non-association independent schools,31/08/2024,05/05/2022,East Midlands,Leicester,Leicester South,LE2 2PJ,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
120336,Twycross House Pre-Preparatory School,03/12/2024,OS,Non-association independent schools,31/08/2024,06/12/2022,East Midlands,Leicestershire,Hinckley and Bosworth,CV9 3PQ,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
120728,Dudley House School,03/12/2024,OS,Non-association independent schools,31/08/2024,15/01/2024,East Midlands,Lincolnshire,Grantham and Bourne,NG31 9AA,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
120740,Kisimul School,03/12/2024,OS,Non-association independent schools,31/08/2024,06/03/2023,East Midlands,Lincolnshire,Sleaford and North Hykeham,LN6 9LU,Other Independent Special School,2,2,2,2,2,Yes,,2,All standards Met
120743,Greenwich House School,03/12/2024,OS,Non-association independent schools,31/08/2024,16/05/2024,East Midlands,Lincolnshire,Louth and Horncastle,LN11 0HE,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
121246,Sheridan House School,03/12/2024,OS,Non-association independent schools,31/08/2024,24/06/2024,East of England,Norfolk,South West Norfolk,IP26 5LQ,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
121250,All Saints School,03/12/2024,OS,Non-association independent schools,31/08/2024,11/07/2023,East of England,Norfolk,North Norfolk,NR12 0DJ,Other Independent Special School,2,2,2,1,1,Yes,,,All standards Met
121251,Downham Preparatory School and Montessori Nursery,03/12/2024,OS,Non-association independent schools,31/08/2024,15/01/2024,East of England,Norfolk,South West Norfolk,PE34 3HT,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
121252,St Andrew's School,03/12/2024,OS,Non-association independent schools,31/08/2024,11/05/2023,East of England,Norfolk,North Norfolk,NR11 8QA,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
121759,York Steiner School,03/12/2024,OS,Non-association independent schools,31/08/2024,13/03/2022,Yorkshire and The Humber,York,York Central,YO10 4PB,Other Independent School,2,2,2,2,2,Yes,2,,Did not meet all standards
121763,Wharfedale Montessori School,03/12/2024,OS,Non-association independent schools,31/08/2024,01/02/2022,Yorkshire and The Humber,North Yorkshire,Skipton and Ripon,BD23 6AN,Other Independent School,2,2,1,2,2,Yes,1,,All standards Met
122136,Cambian Potterspury Lodge School,03/12/2024,OS,Non-association independent schools,31/08/2024,25/05/2023,East Midlands,West Northamptonshire,South Northamptonshire,NN12 7LL,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
122941,Iona School,03/12/2024,OS,Non-association independent schools,31/08/2024,26/09/2021,East Midlands,Nottingham,Nottingham East,NG3 7DN,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
123326,Park School,03/12/2024,OS,Non-association independent schools,31/08/2024,25/05/2022,South East,Oxfordshire,Banbury,OX7 5QH,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
123621,Overley Hall School,03/12/2024,OS,Non-association independent schools,31/08/2024,16/05/2023,West Midlands,Telford and Wrekin,The Wrekin,TF6 5HE,Other Independent Special School,2,1,2,1,1,Yes,,2,All standards Met
123920,Marchant Holliday School,03/12/2024,OS,Non-association independent schools,31/08/2024,29/04/2024,South West,Somerset,Glastonbury and Somerton,BA8 0AH,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
123933,Sedgemoor Manor School,03/12/2024,OS,Non-association independent schools,31/08/2024,09/07/2023,South West,Somerset,Wells and Mendip Hills,TA9 4NP,Other Independent Special School,2,2,2,1,2,Yes,,2,All standards Met
124488,Maple Hayes Hall School,03/12/2024,OS,Non-association independent schools,31/08/2024,22/06/2022,West Midlands,Staffordshire,Lichfield,WS13 8BL,Other Independent Special School,2,2,1,2,2,Yes,,,All standards Met
124495,Roaches School,03/12/2024,OS,Non-association independent schools,31/08/2024,27/11/2022,West Midlands,Staffordshire,Staffordshire Moorlands,ST8 7AB,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
124879,Bramfield House School,03/12/2024,OS,Non-association independent schools,31/08/2024,06/03/2024,East of England,Suffolk,Suffolk Coastal,IP19 9AB,Other Independent Special School,2,2,2,1,1,Yes,,,All standards Met
125403,More House School,03/12/2024,OS,Non-association independent schools,31/08/2024,10/05/2023,South East,Surrey,Farnham and Bordon,GU10 3AP,Other Independent Special School,1,1,1,1,1,Yes,,1,All standards Met
125436,Knowl Hill School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/01/2023,South East,Surrey,Surrey Heath,GU24 0JN,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
125790,Arc School Old Arley,03/12/2024,OS,Non-association independent schools,31/08/2024,22/04/2024,West Midlands,Warwickshire,Nuneaton,CV7 8NU,Other Independent Special School,4,4,4,4,4,No,,,Did not meet all standards
125814,Aidenswood School,03/12/2024,OS,Non-association independent schools,31/08/2024,24/04/2024,North West,Cheshire East,Congleton,CW12 4ED,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
126139,Farney Close School,03/12/2024,OS,Non-association independent schools,31/08/2024,28/11/2022,South East,West Sussex,Mid Sussex,RH17 5RD,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
126141,Philpots Manor School,03/12/2024,OS,Non-association independent schools,31/08/2024,14/09/2023,South East,West Sussex,East Grinstead and Uckfield,RH19 4PR,Other Independent Special School,2,2,2,1,2,Yes,,,All standards Met
126149,Central Education Ltd,03/12/2024,OS,Non-association independent schools,31/08/2024,22/09/2024,South East,West Sussex,East Grinstead and Uckfield,RH17 7NJ,Other Independent Special School,3,3,3,2,3,Yes,,,All standards Met
126523,Avondale Preparatory School,03/12/2024,OS,Non-association independent schools,31/08/2024,02/05/2022,South West,Wiltshire,East Wiltshire,SP4 9DR,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
127003,On Track Education Mildenhall,03/12/2024,OS,Non-association independent schools,31/08/2024,02/05/2023,East of England,Suffolk,West Suffolk,IP28 7RD,Other Independent Special School,2,2,2,2,2,Yes,,0,All standards Met
128078,Oakwood Community School,03/12/2024,OS,Non-association independent schools,31/08/2024,23/03/2023,East Midlands,Leicestershire,Hinckley and Bosworth,CV13 0JD,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
129252,Three Bridges,03/12/2024,OS,Non-association independent schools,31/08/2024,30/06/2024,South West,Cornwall,Camborne and Redruth,TR4 8EG,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
129511,Norwich Steiner School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/01/2024,East of England,Norfolk,Norwich South,NR1 2HW,Other Independent School,2,2,2,2,2,Yes,2,2,All standards Met
129571,Learn 4 Life School,03/12/2024,OS,Non-association independent schools,31/08/2024,28/11/2022,North West,St Helens,St Helens North,WN4 0QD,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
130285,Al Jamiah Al Islamiyyah,03/12/2024,OS,Non-association independent schools,31/08/2024,17/07/2022,North West,Bolton,Bolton South and Walkden,BL3 4HE,Other Independent School,3,3,3,2,2,Yes,,3,All standards Met
130286,Beis Ruchel Girls School,03/12/2024,OS,Non-association independent schools,31/08/2024,30/05/2024,North West,Salford,Salford,M7 4AE,Other Independent School,4,4,2,4,2,No,2,,Did not meet all standards
130367,Appletree School,03/12/2024,OS,Non-association independent schools,31/08/2024,24/09/2024,North West,Westmorland and Furness,Westmorland and Lonsdale,LA9 7QS,Other Independent Special School,2,2,2,1,1,Yes,,,All standards Met
130826,Tashbar of Edgware,03/12/2024,OS,Non-association independent schools,31/08/2024,18/01/2023,London,Barnet,Chipping Barnet,HA8 8JL,Other Independent School,3,3,3,3,2,Yes,3,,All standards Met
130854,Acorn Cottage The Lodge,03/12/2024,OS,Non-association independent schools,31/08/2024,19/10/2022,East of England,Suffolk,South Suffolk,IP7 6NY,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
130855,Gable End,03/12/2024,OS,Non-association independent schools,31/08/2024,30/10/2023,East of England,Suffolk,South Suffolk,IP7 7NL,Other Independent Special School,2,2,2,1,2,Yes,,,All standards Met
130857,Crystal Gardens Primary School,03/12/2024,OS,Non-association independent schools,31/08/2024,14/05/2024,Yorkshire and The Humber,Bradford,Bradford East,BD5 7PE,Other Independent School,2,1,2,2,1,Yes,2,,All standards Met
130902,Spen Brook School,03/12/2024,OS,Non-association independent schools,31/08/2024,08/11/2023,North West,Blackpool,Blackpool South,FY4 5AJ,Other Independent Special School,2,2,2,1,1,Yes,,,All standards Met
130913,The Limes School,03/12/2024,OS,Non-association independent schools,31/08/2024,26/09/2023,North West,Tameside,Ashton-under-Lyne,OL7 9DU,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
131004,Options Trent Acres School,03/12/2024,OS,Non-association independent schools,31/08/2024,13/03/2023,West Midlands,Staffordshire,Lichfield,DE13 7HR,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
131015,Etz Chaim Boys School,03/12/2024,OS,Non-association independent schools,31/08/2024,01/12/2021,North West,Salford,Bury South,M7 4LJ,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
131016,Newbury Manor School,03/12/2024,OS,Non-association independent schools,31/08/2024,26/04/2023,South West,Somerset,Frome and East Somerset,BA11 3RG,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
131018,The Shires,03/12/2024,OS,Non-association independent schools,31/08/2024,25/04/2024,East Midlands,Rutland,Rutland and Stamford,LE15 7GT,Other Independent Special School,2,2,2,1,1,Yes,,2,All standards Met
131025,Belmont School,03/12/2024,OS,Non-association independent schools,31/08/2024,10/11/2022,North West,Lancashire,Rossendale and Darwen,BB4 6RX,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
131026,Beis Soroh Schneirer,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,London,Barnet,Hendon,NW9 6AX,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
131033,Oakwood School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/12/2023,West Midlands,Shropshire,Hertsmere,EN6 1AG,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
131064,Chilworth House School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/01/2024,South East,Oxfordshire,Henley and Thame,OX33 1JP,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
131119,Jamia Al-Hudaa Residential College,03/12/2024,OS,Non-association independent schools,31/08/2024,08/11/2023,East Midlands,Nottingham,Nottingham East,NG3 5TT,Other Independent School,3,3,3,3,2,Yes,,3,Did not meet all standards
131121,Talmud Torah Tiferes Shlomo,03/12/2024,OS,Non-association independent schools,31/08/2024,23/07/2024,London,Barnet,Hendon,NW4 2NB,Other Independent School,3,3,3,3,2,Yes,2,,Did not meet all standards
131122,Al-Mahad Al-Islami,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,Yorkshire and The Humber,Sheffield,Sheffield South East,S9 5FP,Other Independent School,3,3,3,2,2,Yes,,,All standards Met
131127,Drive Preparatory School,03/12/2024,OS,Non-association independent schools,31/08/2024,17/04/2024,South East,Brighton and Hove,Hove and Portslade,BN3 6GE,Other Independent School,4,4,3,2,2,No,,,Did not meet all standards
131128,Finchley and Acton Yochien School,03/12/2024,OS,Non-association independent schools,31/08/2024,24/09/2024,London,Barnet,Finchley and Golders Green,N3 1UE,Other Independent School,4,4,3,2,2,No,3,,Did not meet all standards
131136,Denby Grange School,03/12/2024,OS,Non-association independent schools,31/08/2024,28/09/2023,Yorkshire and The Humber,Wakefield,Ossett and Denby Dale,WF4 4JG,Other Independent Special School,2,1,2,1,1,Yes,,,All standards Met
131138,Progress School,03/12/2024,OS,Non-association independent schools,31/08/2024,25/09/2024,North West,Lancashire,Chorley,PR5 6AQ,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
131139,Manor House School,03/12/2024,OS,Non-association independent schools,31/08/2024,30/07/2023,South East,West Sussex,Horsham,RH13 0QX,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
131164,Green Oak Academy,03/12/2024,OS,Non-association independent schools,31/08/2024,20/12/2023,West Midlands,Birmingham,Birmingham Hall Green and Moseley,B13 9BB,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
131170,Beis Aharon School,03/12/2024,OS,Non-association independent schools,31/08/2024,13/12/2023,London,Hackney,Tottenham,N16 5ED,Other Independent School,3,2,3,2,2,Yes,3,,All standards Met
131171,Darwin School,03/12/2024,OS,Non-association independent schools,31/08/2024,15/01/2023,West Midlands,Shropshire,Hertsmere,EN6 1BB,Other Independent Special School,2,2,2,2,2,Yes,,0,All standards Met
131181,Beech Grove School,03/12/2024,OS,Non-association independent schools,31/08/2024,20/06/2024,South East,Kent,Dover and Deal,CT15 4FB,Other Independent School,2,2,2,1,1,Yes,2,1,All standards Met
131237,Cavendish School,03/12/2024,OS,Non-association independent schools,31/08/2024,12/05/2024,London,Southwark,Bermondsey and Old Southwark,SE16 2PA,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
131261,Barnet Hill Academy,03/12/2024,OS,Non-association independent schools,31/08/2024,08/09/2024,London,Barnet,Hendon,NW4 3ES,Other Independent School,2,2,2,1,2,Yes,2,,All standards Met
131288,WENTWORTH COLLEGE,03/12/2024,OS,Non-association independent schools,31/08/2024,14/11/2022,London,Barnet,Hendon,NW11 9LH,Other Independent School,2,2,2,2,2,Yes,,2,All standards Met
131291,The Academy School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/01/2024,London,Camden,Hampstead and Highgate,NW3 1NG,Other Independent School,1,1,1,1,1,Yes,,,All standards Met
131342,Beis Trana Girls' School,03/12/2024,OS,Non-association independent schools,31/08/2024,14/11/2022,London,Hackney,Hackney North and Stoke Newington,E5 9DH,Other Independent School,4,4,3,3,2,No,3,,Did not meet all standards
131351,Educare Small School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/09/2024,London,Kingston upon Thames,Richmond Park,KT2 6DZ,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
131353,Queenswood School,03/12/2024,OS,Non-association independent schools,31/08/2024,29/03/2022,West Midlands,Herefordshire,North Herefordshire,HR8 2PZ,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
131355,Jamea Al Kauthar,03/12/2024,OS,Non-association independent schools,31/08/2024,12/06/2022,North West,Lancashire,Lancaster and Wyre,LA1 5AJ,Other Independent School,2,2,2,2,1,Yes,,2,All standards Met
131356,The Lioncare School,03/12/2024,OS,Non-association independent schools,31/08/2024,14/11/2021,South East,Brighton and Hove,Hove and Portslade,BN3 5HD,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
131379,Cedar Lodge School,03/12/2024,OS,Non-association independent schools,31/08/2024,05/03/2024,North West,Rochdale,Preston,PR2 2YQ,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
131388,Jamiatul Ummah School,03/12/2024,OS,Non-association independent schools,31/08/2024,28/04/2022,London,Tower Hamlets,Bethnal Green and Stepney,E1 2ND,Other Independent School,2,2,2,1,2,Yes,,,All standards Met
